week;crisis;new_cases;deaths
1;0;0;0
2;0;0;0
3;0;0;0
4;0;0;0
5;0;0;0
6;0;0;0
7;0;0;0
8;1;4;0
9;1;3;0
10;1;3;1
11;1;2;0
12;1;2;5
13;1;15;9
14;1;392;35
15;1;3049;52
16;1;299933;570
17;1;107500;3149
18;1;189987;9984
19;1;223958;16135
20;1;168900;17022
21;1;187409;15368
22;1;194497;13101
23;1;148122;11112
24;1;155861;9114
25;1;157107;7112
26;1;150224;6064
