;climate-climate;climate-covid;climate-social;climate-agency;climate-urgency;climate-health;climate-possibility;covid-covid;covid-social;covid-agency;covid-urgency;covid-health;covid-possibility;social-social;social-agency;social-urgency;social-health;social-possibility;agency-agency;agency-urgency;agency-health;agency-possibility;urgency-urgency;urgency-health;urgency-possibility;health-health;health-possibility;possibility-possibility
week_1;25,301204819277107;0,0;0,15060240963855423;23,19277108433735;14,60843373493976;0,15060240963855423;4,141566265060241;0,0;0,0;0,0;0,0;0,0;0,07530120481927711;0,0;0,0;0,0;0,07530120481927711;0,0;6,77710843373494;8,358433734939759;0,2259036144578313;5,346385542168674;1,7319277108433735;0,07530120481927711;3,614457831325301;0,07530120481927711;0,07530120481927711;0,07530120481927711
week_2;15,552523874488402;0,1364256480218281;0,8185538881309686;20,463847203274216;10,641200545702592;0,2728512960436562;3,2742155525238745;0,0;0,0;0,2728512960436562;0,0;0,0;0,1364256480218281;0,0;0,0;0,0;0,1364256480218281;0,0;5,866302864938609;6,2755798090040935;0,4092769440654843;6,139154160982264;1,227830832196453;0,1364256480218281;1,364256480218281;0,1364256480218281;0,0;0,0
week_3;16,025641025641026;0,3205128205128205;0,641025641025641;11,858974358974358;6,891025641025641;0,0;1,7628205128205128;0,0;0,16025641025641024;0,0;0,4807692307692308;0,0;0,16025641025641024;0,0;0,3205128205128205;0,16025641025641024;0,0;0,16025641025641024;4,647435897435898;6,730769230769231;0,9615384615384616;2,2435897435897436;0,9615384615384616;0,8012820512820512;0,9615384615384616;0,16025641025641024;0,0;0,0
week_4;12,784090909090908;0,0;0,0;16,761363636363637;2,840909090909091;0,0;1,4204545454545454;0,0;0,0;2,840909090909091;0,0;0,0;0,0;0,0;0,2840909090909091;0,0;0,2840909090909091;0,0;7,386363636363637;3,6931818181818183;0,0;1,7045454545454544;0,2840909090909091;0,0;0,8522727272727272;0,0;0,0;0,2840909090909091
week_5;10,454545454545453;0,22727272727272727;0,45454545454545453;15,0;9,772727272727273;0,0;2,5;0,0;0,0;0,0;0,22727272727272727;0,0;0,0;0,0;0,0;0,0;0,22727272727272727;0,0;4,318181818181818;8,409090909090908;0,0;2,272727272727273;2,272727272727273;0,0;1,8181818181818181;0,0;0,0;0,45454545454545453
week_6;12,777777777777777;0,2777777777777778;0,1388888888888889;21,805555555555557;6,388888888888888;1,5277777777777777;3,194444444444444;0,0;0,0;1,3888888888888888;0,2777777777777778;0,0;0,9722222222222222;0,0;0,0;0,0;0,1388888888888889;0,0;13,472222222222221;9,166666666666666;1,1111111111111112;4,027777777777778;0,9722222222222222;0,4166666666666667;2,638888888888889;0,5555555555555556;0,2777777777777778;0,4166666666666667
week_7;10,043196544276457;0,0;0,755939524838013;13,174946004319654;6,047516198704104;0,8639308855291578;2,8077753779697625;0,0;0,0;0,5399568034557235;0,21598272138228944;0,0;0,0;0,0;0,10799136069114472;0,10799136069114472;0,4319654427645789;0,10799136069114472;5,723542116630669;6,155507559395248;0,32397408207343414;2,699784017278618;0,9719222462203023;0,6479481641468683;1,079913606911447;0,21598272138228944;0,5399568034557235;0,4319654427645789
week_8;8,333333333333332;0,0;0,15723270440251574;12,10691823899371;4,40251572327044;0,7861635220125787;1,10062893081761;0,0;0,0;0,3144654088050315;0,0;0,0;0,0;0,15723270440251574;0,15723270440251574;0,0;0,4716981132075472;0,0;8,018867924528301;4,245283018867925;0,15723270440251574;4,40251572327044;0,628930817610063;0,4716981132075472;1,4150943396226416;0,0;0,0;0,0
week_9;9,038238702201621;0,5793742757821553;0,0;12,514484356894554;6,373117033603708;0,34762456546929316;2,317497103128621;0,11587485515643105;0,0;0,34762456546929316;0,2317497103128621;0,0;0,11587485515643105;0,0;0,0;0,0;0,0;0,2317497103128621;5,44611819235226;5,098493626882966;0,6952491309385863;3,8238702201622248;0,6952491309385863;0,4634994206257242;0,6952491309385863;0,11587485515643105;0,11587485515643105;0,2317497103128621
week_10;6,193806193806194;0,0;0,0;6,493506493506493;3,696303696303696;0,0999000999000999;1,4985014985014986;0,0;0,0;0,0;0,2997002997002997;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,594405594405594;3,896103896103896;0,2997002997002997;3,096903096903097;1,2987012987012987;0,0999000999000999;0,5994005994005994;0,0;0,1998001998001998;0,0
