;word;frequency;category;;Colors
2069;construction_site;51;climate;;
2076;ecocide_law;50;climate;;
2123;tropical;49;climate;;
2185;voteclimate;47;climate;;
2202;extinctionunderground;47;climate;;
2213;global_heating;46;climate;;
2214;zerocarbon;46;climate;;
2236;mother_earth;46;climate;;
2241;biodiversityday;46;climate;;
2272;eco_fascism;45;climate;;
2279;humansofxr;45;climate;;
2288;big_polluter;44;climate;;
2308;house_fire;44;climate;;
2310;ecological_breakdown;44;climate;;
2304;regenerativeculture;44;climate;;
2343;recycling;43;climate;;
2345;single_use;43;climate;;
2347;ecologicalcrisis;43;climate;;
2353;solar_panel;43;climate;;
2356;unsustainable;43;climate;;
2357;pollinator;43;climate;;
2358;gardening;43;climate;;
2399;fuel_company;42;climate;;
2401;fossilbanksnothank;42;climate;;
2402;destruction_natural;41;climate;;
2416;brave_rebel;41;climate;;
2451;sunflow;41;climate;;
2458;kick_pollutersout;41;climate;;
2485;environmentally;40;climate;;
2490;letterstotheearth;40;climate;;
2497;industry_steal;40;climate;;
2499;withdraw_involvement;40;climate;;
2503;nogoingback_decidetogether;40;climate;;
2506;hunger_strike;39;climate;;
2517;gretathunberg;39;climate;;
2531;permafrost;39;climate;;
2570;ecocidal;38;climate;;
2580;lifestyle;38;climate;;
2591;stopadani;38;climate;;
2596;fossilfree;38;climate;;
2604;exert_fossil;38;climate;;
2640;zero_emission;37;climate;;
2653;greenrecovery;37;climate;;
2656;planetary_emergency;36;climate;;
2682;temperature_rise;36;climate;;
2684;sea_ice;36;climate;;
2689;glyphosate;36;climate;;
2709;siberia;36;climate;;
2726;ecologicalbreakdown;35;climate;;
2735;heading_extinction;35;climate;;
2737;toxic_air;35;climate;;
2750;drill_oil;35;climate;;
2754;ecological_collapse;35;climate;;
2759;oil_spill;35;climate;;
2766;paintthestreets;35;climate;;
2767;cyclist_pedestrian;35;climate;;
2777;level_pollutersout;35;climate;;
2781;greenwashing;34;climate;;
2787;food_supply;34;climate;;
2799;oxygen;34;climate;;
2801;environmentalist;34;climate;;
2828;fridaysforfuture_schoolstrike;34;climate;;
2830;australian_bushfire;34;climate;;
2850;pollute_corporation;34;climate;;
2795;regenerate;34;climate;;
2895;dontbankonbarclay;33;climate;;
2919;peaceful_protester;32;climate;;
2930;ice_sheet;32;climate;;
2932;schoolstrike;32;climate;;
2947;farming_conference;32;climate;;
2958;climateemegency;32;climate;;
2965;walking_cycling;32;climate;;
2900;thisisnotadrill;32;climate;;
3000;divest_fossilfuel;31;climate;;
3020;deep_sea;31;climate;;
3033;democratise;31;climate;;
3039;seedsoflove;31;climate;;
3044;litter_pick;30;climate;;
3048;chemical;30;climate;;
3054;agricultural;30;climate;;
3066;fridaysforfuture_climatestrike;30;climate;;
3072;climatechangeisreal;30;climate;;
3139;wind_turbine;29;climate;;
3169;campaign_rewild;29;climate;;
3173;ecologically;29;climate;;
3184;gas_company;28;climate;;
3192;bike_ride;28;climate;;
3214;crop_failure;28;climate;;
3219;wearewokingxr;28;climate;;
3222;environmentalism;28;climate;;
3223;justtransition;28;climate;;
3251;clearskie;28;climate;;
3239;footprint;28;climate;;
3258;climatedebate;27;climate;;
3259;parisagreement;27;climate;;
3263;rebellious;27;climate;;
3270;discobedience;27;climate;;
3271;species;27;climate;;
3301;extinctionrebellionwrecsam;27;climate;;
3323;bushfirerebellion;27;climate;;
3330;flood_victim;27;climate;;
3335;fashion_industry;26;climate;;
3352;civil_disobe;26;climate;;
3406;regenerativerebellion;26;climate;;
3408;axedraxnottrees;26;climate;;
3409;worldbeeday;26;climate;;
3391;joaquin;26;climate;;
3416;internationalrebellion;25;climate;;
3509;beyondpolitic;24;climate;;
3555;allforclimate;24;climate;;
3588;shellmustfall;23;climate;;
3596;wasteful;23;climate;;
3634;decarbonisation;22;climate;;
3658;climateandecologicalemergency;22;climate;;
3718;offshore;22;climate;;
3720;peoplesassembly;22;climate;;
3788;plasticfree;21;climate;;
3809;australianbushfire;21;climate;;
3812;australianfire;21;climate;;
3835;shell_withdraw;21;climate;;
3849;chalkyourwalk;21;climate;;
3864;melting;20;climate;;
3866;plasticpollution;20;climate;;
3919;australiafire;20;climate;;
3938;agroecology;20;climate;;
3942;weedkiller;20;climate;;
3946;xreastherts;20;climate;;
3957;climateandecologicalcrisis;20;climate;;
3962;thebluewave;20;climate;;
4028;consumerism;19;climate;;
4062;australiaonfire;19;climate;;
4064;australiabushfire;19;climate;;
4073;civildisobedience;19;climate;;
4090;leaveitintheground;19;climate;;
4096;earthdayswitch;19;climate;;
4104;xrfamilie;18;climate;;
4115;extinctionrebe;18;climate;;
