;agency_new;amount_agency_new;climate_new;amount_climate_new;covid_new;amount_covid_new;health_new;amount_health_new;possibility_new;amount_possibility_new;social_new;amount_social_new;urgency_new;amount_urgency_new
week_13;organize_workplace, everybodyorganize;2;environmental_justice, save_planet, climatestrike, renewable_energy, climat, ecosoc, climatejustice, decarbonise, climateactionnow, climateact;10;testing, transit_worker, risk_life, dontbargainwithourlive;4;reproductive_right, healthca, pregnancy, medicar, nyhealthact, medicarefo, untreated, dehydration, healthcareworkinggroup, healthjusrice;10;hold_accountable;1,0;bailout, employer, rent_strike, rentstrike, peopleoverprofit, unemployed, houseless, foreclosure, rental, tenant_protection, housingisahumanright, nyhomesguarantee, unpaid, rentcontrolnow, overtime, unionization, tenantpower, realrentcontrolnow, housingjusticeforall, savemomshouse, homesnothandcuff, livingwage, survivorrightsworkerright, unpropertied;24;unacceptable, endanger, badly_need, outrageous, class_warfare, shameful, necessity, hardship, fuckin, unimaginable;10
week_14;everybodyorganize;1;save_planet, climatestrike, ecological, climat, ecosoc, climatejustice, decarbonise, vegetarian, climateactionnow, climateact;10;save_life, transit_worker, risk_life, dontbargainwithourlive;4;patient, medicine, illness, medica, healthca, pregnancy, medicar, nyhealthact, medicarefo, untreated, dehydration, healthcareworkinggroup, healthjusrice;13;solidarityforever, hold_accountable;2,0;unemployment, pay_rent, freeze, rentstrike, peopleoverprofit, houseless, rental, low_wage, hungry, unhoused_neighbor, fair_contract, tenant_protection, housingisahumanright, tuition_free, overtime, unionization, tenantpower, realrentcontrolnow, housingjusticeforall, savemomshouse, homesnothandcuff, livingwage, survivorrightsworkerright, unpropertied;24;endanger, badly_need, devastating, unfair, misery;5
week_15;organize_workplace, everybodyorganize;2;ecosocialism, climatestrike, ecological, sustainability, climatejustice, decarbonise, vegetarian, climateactionnow, climateact;9;save_life, transit_worker, risk_life, dontbargainwithourlive;4;reproductive_right, medica, healthca, pregnancy, medicar, nyhealthact, medicarefo, untreated, dehydration, healthcareworkinggroup, healthjusrice;11;hold_accountable;1,0;peopleoverprofit, unemployed, fair_contract, tenant_protection, wage_theft, rentcontrol, slumlord, rentcontrolnow, tenantpower, realrentcontrolnow, housingjusticeforall, savemomshouse, homesnothandcuff, livingwage, survivorrightsworkerright, unpropertied;16;badly_need, scared, misery, fuckin, unimaginable;5
week_16;everybodyorganize;1;earth_day, sustainable, fracke_gas, climatestrike, ecological, sustainability, climat, energydemocracy, ecosoc, climatejustice, decarbonise, vegetarian, climateactionnow, climateact;14;transit_worker, dontbargainwithourlive;2;medica, pregnancy, nyhealthact, medicarefo, untreated, dehydration, healthcareworkinggroup, healthjusrice;8;hold_accountable;1,0;exploitation, gentrification, hungry, fair_contract, wage_theft, slumlord, rentcontrolnow, overtime, tenantpower, realrentcontrolnow, housingjusticeforall, savemomshouse, homesnothandcuff, livingwage, survivorrightsworkerright, unpropertied;16;big_ass, class_warfare, unfair;3
week_17;mass_movement, everybodyorganize;2;emission, earth_day, save_planet, climatestrike, renewable_energy, climat, energydemocracy, ecosoc, climatejustice, decarbonise, climateactionnow, climateact;12;transit_worker, dontbargainwithourlive;2;reproductive_right, healthca, pregnancy, medicar, nyhealthact, medicarefo, untreated, dehydration, healthcareworkinggroup, healthjusrice;10;empower;1,0;union_busting, fair_contract, nyhomesguarantee, wage_theft, tuition_free, rentcontrol, slumlord, decommodify, rentcontrolnow, overtime, tenantpower, realrentcontrolnow, housingjusticeforall, savemomshouse, homesnothandcuff, livingwage, survivorrightsworkerright, unpropertied;18;big_ass, badly_need, unfair, fuckin;4
week_18;grassroots, trysocialism, mass_movement, everybodyorganize;4;ecosocialism, carbon, emission, earth_day, save_planet, fracke_gas, climatestrike, renewable_energy, ecological, sustainability, climat, energydemocracy, ecosoc, decarbonise, vegetarian, climateactionnow, climateact;17;dontbargainwithourlive;1;medical_debt, pharma, reproductive_right, pregnancy, medicar, nyhealthact, medicarefo, untreated, dehydration, healthcareworkinggroup, healthjusrice;11;momentum, empower, solidarityforever, transformative;4,0;childcare, unhoused_neighbor, fair_contract, tenant_protection, nyhomesguarantee, wage_theft, tuition_free, unpaid, decommodify, rentcontrolnow, tenantpower, realrentcontrolnow, housingjusticeforall, savemomshouse, homesnothandcuff, livingwage, survivorrightsworkerright, unpropertied;18;big_ass, class_warfare, unfair, misery;4
week_19;abolish, grassroots, occupy, everybodyorganize;4;emission, fracke_gas, climatestrike, ecological, climat, energydemocracy, ecosoc, climatejustice, decarbonise, vegetarian, climateactionnow, climateact;12;dontbargainwithourlive;1;insurance_company, abortion_access, medical_debt, illness, pharma, reproductive_right, medica, healthca, pregnancy, medicar, nyhealthact, medicarefo, untreated, dehydration, healthcareworkinggroup, healthjusrice;16;;;low_income, houseless, gentrification, foreclosure, rental, fair_contract, tenant_protection, nyhomesguarantee, wage_theft, tuition_free, rentcontrol, slumlord, decommodify, rentcontrolnow, unionization, tenantpower, realrentcontrolnow, housingjusticeforall, savemomshouse, homesnothandcuff, livingwage, survivorrightsworkerright, unpropertied;23;big_ass, badly_need, scared, necessity, devastating, unfair, misery, fuckin, unimaginable;9
week_20;build_movement, mass_movement, everybodyorganize;3;emission, earth_day, sustainable, fracke_gas, climatestrike, sustainability, climat, energydemocracy, ecosoc, decarbonise, vegetarian, climateactionnow, climateact;13;transit_worker, dontbargainwithourlive;2;medical_debt, medica, healthca, pregnancy, medicar, nyhealthact, medicarefo, untreated, dehydration, healthcareworkinggroup, healthjusrice;11;solidarityforever, hold_accountable, transformative;3,0;affordable_housing, student_loan, rental, fair_contract, housingisahumanright, nyhomesguarantee, wage_theft, tuition_free, rentcontrol, decommodify, rentcontrolnow, overtime, unionization, tenantpower, realrentcontrolnow, housingjusticeforall, savemomshouse, homesnothandcuff, livingwage, survivorrightsworkerright, unpropertied;21;dignity, big_ass, badly_need, scared, necessity, unimaginable;6
week_21;trysocialism, mass_movement, everybodyorganize;3;ecosocialism, carbon, sustainability, climat, ecosoc, climatejustice, decarbonise, vegetarian, climateactionnow, climateact;10;dontbargainwithourlive;1;universal_healthcare, medical_debt, medica, healthca, pregnancy, nyhealthact, medicarefo, untreated, dehydration, healthcareworkinggroup, healthjusrice;11;;;childcare, student_debt, foreclosure, fair_contract, housingisahumanright, nyhomesguarantee, wage_theft, tuition_free, unpaid, slumlord, rentcontrolnow, overtime, realrentcontrolnow, housingjusticeforall, savemomshouse, homesnothandcuff, livingwage, survivorrightsworkerright, unpropertied;19;million_americans, big_ass, hardship, devastating, misery, fuckin, unimaginable;7
week_22;build_movement, occupy, mass_movement, grassroot;4;climatestrike, renewable_energy, ecological, climat, energydemocracy, ecosoc, climatejustice, decarbonise, vegetarian, climateactionnow, climateact;11;dontbargainwithourlive;1;medicare, universal_healthcare, pharma, medica, medicar, nyhealthact, medicarefo, untreated, dehydration, healthcareworkinggroup, healthjusrice;11;momentum, transformative;2,0;student_debt, live_wage, working_class, student_loan, hungry, housingisahumanright, nyhomesguarantee, wage_theft, tuition_free, rentcontrol, slumlord, decommodify, rentcontrolnow, overtime, realrentcontrolnow, housingjusticeforall, savemomshouse, homesnothandcuff, livingwage, survivorrightsworkerright, unpropertied;21;big_ass, badly_need, class_warfare, shameful, fuckin, unimaginable;6
week_23;build_movement, trysocialism, occupy, everybodyorganize;4;environmental, ecosocialism, earth_day, sustainable, save_planet, fracke_gas, climatestrike, ecological, climat, energydemocracy, ecosoc, climatejustice, decarbonise, vegetarian, climateactionnow, climateact;16;dontbargainwithourlive;1;insurance_company, illness, pharma, reproductive_right, medicar, nyhealthact, medicarefo, dehydration, healthcareworkinggroup, healthjusrice;10;empower;1,0;student_debt, student_loan, union_busting, low_wage, fair_contract, tenant_protection, housingisahumanright, tuition_free, unpaid, rentcontrol, rentcontrolnow, overtime, unionization, tenantpower, realrentcontrolnow, housingjusticeforall, savemomshouse, homesnothandcuff, livingwage, survivorrightsworkerright, unpropertied;21;big_ass, badly_need, class_warfare, suffering, scared, misery, fuckin, unimaginable;8
week_24;build_movement, everybodyorganize;2;earth_day, sustainable, save_planet, climatestrike, renewable_energy, sustainability, climat, energydemocracy, climatejustice, decarbonise, vegetarian, climateactionnow, climateact;13;dontbargainwithourlive;1;medicine, healthca, medicar, medicarefo, untreated, dehydration, healthcareworkinggroup, healthjusrice;8;solidarityforever;1,0;homelessness, affordable_housing, student_debt, rentstrike, student_loan, unhoused_neighbor, nyhomesguarantee, tuition_free, slumlord, decommodify, rentcontrolnow, overtime, unionization, tenantpower, realrentcontrolnow, housingjusticeforall, savemomshouse, homesnothandcuff, livingwage, survivorrightsworkerright, unpropertied;21;dignity, unacceptable, big_ass, badly_need, class_warfare, necessity, devastating, misery, unimaginable;9
week_25;grassroot, everybodyorganize;2;carbon, earth_day, save_planet, fracke_gas, climatestrike, renewable_energy, ecological, sustainability, climat, energydemocracy, ecosoc, decarbonise, vegetarian, climateactionnow, climateact;15;transit_worker, dontbargainwithourlive;2;medicare, healthy, insurance_company, medical_debt, pharma, reproductive_right, medica, healthca, medicar, medicarefo, untreated, dehydration, healthcareworkinggroup, healthjusrice;14;hold_accountable;1,0;pay_rent, unhoused, low_income, student_loan, houseless, exploitation, gentrification, union_busting, low_wage, unhoused_neighbor, fair_contract, nyhomesguarantee, tuition_free, decommodify, rentcontrolnow, overtime, unionization, tenantpower, realrentcontrolnow, housingjusticeforall, savemomshouse, homesnothandcuff, livingwage, survivorrightsworkerright, unpropertied;25;terrible, big_ass, class_warfare, suffering, scared, hardship, misery, fuckin, unimaginable;9
week_26;mass_movement, everybodyorganize;2;carbon, emission, earth_day, sustainable, climatestrike, ecological, sustainability, climat, ecosoc, climatejustice, decarbonise, vegetarian, climateactionnow, climateact;14;dontbargainwithourlive;1;medicare, universal_healthcare, medical_debt, reproductive_right, medica, healthca, medicar, nyhealthact, medicarefo, untreated, dehydration, healthcareworkinggroup, healthjusrice;13;transformative;1,0;rent_control, student_debt, rentstrike, peopleoverprofit, student_loan, gentrification, foreclosure, rental, low_wage, housingisahumanright, nyhomesguarantee, tuition_free, unpaid, slumlord, decommodify, rentcontrolnow, unionization, tenantpower, realrentcontrolnow, savemomshouse, homesnothandcuff, livingwage, survivorrightsworkerright, unpropertied;24;survival, big_ass, badly_need, devastating, unfair, misery;6
