;social-social;social-covid;social-health;social-climate;social-urgency;social-agency;social-possibility;covid-covid;covid-health;covid-climate;covid-urgency;covid-agency;covid-possibility;health-health;health-climate;health-urgency;health-agency;health-possibility;climate-climate;climate-urgency;climate-agency;climate-possibility;urgency-urgency;urgency-agency;urgency-possibility;agency-agency;agency-possibility;possibility-possibility
week_1;4,2837402118839245;0,23030861354214646;1,612160294795025;1,7964071856287425;2,901888530631046;6,678949792722248;1,9345923537540304;0,046061722708429294;0,4145555043758637;0,09212344541685859;0,09212344541685859;0,09212344541685859;0,18424689083371718;0,6909258406264395;0,23030861354214646;1,4279134039613082;1,7503454629203132;0,7830492860432979;1,7503454629203132;1,1976047904191618;3,8231229847996318;0,8291110087517274;0,5527406725011516;1,8424689083371717;0,6448641179180101;3,6849378166743434;1,0594196222938737;0,2763703362505758
week_2;3,6302237230899115;0,2532714225411566;1,9839594765723934;1,47741663149008;3,588011819333052;6,036302237230899;2,3638666103841284;0,16884761502743773;0,7598142676234698;0,04221190375685943;0,2532714225411566;0,6753904601097509;0,0;0,8442380751371887;0,33769523005487545;0,9708737864077669;1,47741663149008;0,8020261713803293;1,4352047277332207;0,6331785563528914;1,0552975939214857;0,5487547488391726;0,5487547488391726;1,8995356690586744;1,3929928239763614;2,152807091599831;2,6593499366821445;0,5065428450823132
week_3;3,864524533217542;0,17368649587494572;1,5631784628745113;1,3894919669995658;2,9960920538428137;6,947459834997829;1,7368649587494573;0,21710811984368217;0,08684324793747286;0,0;0,04342162396873643;0,303951367781155;0,0;1,7368649587494573;0,39079461571862784;0,7381676074685193;1,3894919669995658;0,43421623968736434;0,43421623968736434;0,5644811115935736;0,6947459834997829;0,8250108554059922;0,43421623968736434;1,5631784628745113;1,0421189752496742;2,692140686061659;1,6500217108119843;0,43421623968736434
week_4;4,705882352941177;0,4411764705882353;0,3676470588235294;1,5441176470588236;3,9705882352941173;4,705882352941177;1,911764705882353;0,0;0,0;1,6911764705882353;0,0;0,07352941176470588;0,07352941176470588;0,5147058823529411;0,29411764705882354;0,3676470588235294;0,8088235294117648;0,07352941176470588;1,6176470588235297;3,75;1,7647058823529411;0,6617647058823529;0,3676470588235294;1,8382352941176472;1,6911764705882353;0,8823529411764706;1,4705882352941175;0,29411764705882354
week_5;1,8745218056618211;0,26778882938026016;0,6885998469778117;0,8033664881407804;2,0275439938791124;3,519510328997705;1,9892884468247896;0,0;0,03825554705432287;0,03825554705432287;0,11476664116296864;0,306044376434583;0,03825554705432287;0,3825554705432288;0,22953328232593728;0,3825554705432288;0,7651109410864576;0,45906656465187456;0,7651109410864576;0,6885998469778117;1,1476664116296864;0,4973221117061974;0,612088752869166;2,1423106350420813;0,8033664881407804;2,9456771231828616;2,5631216526396328;0,45906656465187456
week_6;4,399141630901288;0,4291845493562232;1,0014306151645207;1,502145922746781;2,28898426323319;5,150214592274678;1,3590844062947067;0,0;0,14306151645207438;0,07153075822603719;0,14306151645207438;0,1072961373390558;0,035765379113018594;0,7510729613733905;0,3218884120171674;0,4291845493562232;0,9298998569384835;0,7153075822603719;0,9656652360515022;1,0729613733905579;1,6094420600858368;0,7868383404864091;0,9298998569384835;2,503576537911302;1,2875536480686696;2,503576537911302;1,2160228898426324;0,3218884120171674
week_7;4,385964912280701;0,6578947368421052;2,882205513784461;1,4411027568922306;2,725563909774436;5,733082706766917;1,4724310776942355;0,0;0,0;0,34461152882205515;0,12531328320802004;0,28195488721804507;0,03132832080200501;0,9085213032581453;0,6578947368421052;0,5952380952380952;1,6917293233082706;0,34461152882205515;1,3157894736842104;0,7205513784461153;1,4097744360902256;0,6265664160401002;0,5952380952380952;1,3471177944862154;0,5639097744360901;2,537593984962406;1,4097744360902256;0,12531328320802004
week_8;4,66340729597593;0,4889056036103798;2,1060549078600976;0,45129748025573524;2,8206092515983454;4,1368935690109065;2,1812711545693872;0,0;0,2632568634825122;0,07521624670928921;0,11282437006393381;0,2632568634825122;0,07521624670928921;0,8649868371568259;0,11282437006393381;0,6017299736743137;1,5795411808950734;0,8273787138021812;0,376081233546446;0,45129748025573524;0,5265137269650244;0,5265137269650244;0,4889056036103798;1,5795411808950734;0,6769462203836029;1,6547574276043624;1,4667168108311395;0,30086498683715684
week_9;4,3088737201365195;0,8959044368600683;1,023890784982935;0,8959044368600683;2,3890784982935154;4,479522184300341;1,9197952218430034;0,0;0,17064846416382254;0,08532423208191127;0,0;0,8532423208191127;0,2986348122866894;0,5546075085324232;0,2986348122866894;0,7252559726962458;1,2372013651877134;0,810580204778157;0,6399317406143344;1,3225255972696246;0,6825938566552902;0,938566552901024;0,12798634812286688;1,9197952218430034;0,6399317406143344;2,303754266211604;1,6638225255972698;0,25597269624573377
week_10;2,810539523212045;0,32622333751568383;0,9535759096612296;0,7026348808030113;2,409033877038896;4,767879548306149;2,5595984943538266;0,0;0,2509410288582183;0,02509410288582183;0,0752823086574655;0,32622333751568383;0,2509410288582183;0,6524466750313677;0,451693851944793;0,2509410288582183;0,8782936010037641;0,6273525721455459;0,37641154328732745;0,4767879548306148;1,179422835633626;0,7026348808030113;0,40150564617314927;1,806775407779172;1,1041405269761606;1,4805520702634882;2,409033877038896;0,5520702634880803
week_11;3,7185929648241203;0,2680067001675042;1,541038525963149;1,306532663316583;2,5460636515912896;5,226130653266332;1,8760469011725294;0,0;0,06700167504187605;0,0;0,06700167504187605;0,16750418760469013;0,03350083752093803;0,7035175879396985;0,4020100502512563;0,5025125628140703;0,5695142378559465;0,7705192629815745;0,8375209380234505;0,9045226130653266;2,278056951423786;1,306532663316583;0,43551088777219427;2,0100502512562812;1,1725293132328307;2,21105527638191;2,3450586264656614;0,4020100502512563
