;word;frequency_week_1;percent_week_1;frequency_week_2;percent_week_2;frequency_week_3;percent_week_3;frequency_week_4;percent_week_4;frequency_week_5;percent_week_5;frequency_week_6;percent_week_6;frequency_week_7;percent_week_7;frequency_week_8;percent_week_8;frequency_week_9;percent_week_9;frequency_week_10;percent_week_10;frequency_week_11;percent_week_11;frequency_week_12;percent_week_12;frequency_week_13;percent_week_13;frequency_week_14;percent_week_14;frequency_week_15;percent_week_15;frequency_week_16;percent_week_16;frequency_week_17;percent_week_17;frequency_week_18;percent_week_18;frequency_week_19;percent_week_19;frequency_week_20;percent_week_20;frequency_week_21;percent_week_21;frequency_week_22;percent_week_22;frequency_week_23;percent_week_23;frequency_week_24;percent_week_24;frequency_week_25;percent_week_25;frequency_week_26;percent_week_26
0;crisis;10.0;0.04829751267809708;9.0;0.041174855888004395;4.0;0.01865671641791045;29.0;0.257411681164566;10.0;0.04485310607759588;15.0;0.058220773171867725;15.0;0.05136986301369863;12.0;0.049985420918898654;31.0;0.1468637483418609;13.0;0.0376702405099971;6.0;0.02245088868101029;14.0;0.042171215133441776;21.0;0.05858721124874455;19.0;0.048521374942540475;144.0;0.3337505214851898;234.0;0.48850754681530656;195.0;0.4975759122225057;140.0;0.474158368895211;84.0;0.2851904664901202;54.0;0.21941408313355817;68.0;0.2779821764369226;85.0;0.28682301332883414;57.0;0.2955665024630542;59.0;0.28381758706946314;38.0;0.2165365547894467;25.0;0.06252813766194787
1;sick;8.0;0.03863801014247766;1.0;0.004574983987556043;20.0;0.09328358208955223;3.0;0.02662879460323096;5.0;0.02242655303879794;1.0;0.003881384878124515;6.0;0.020547945205479454;6.0;0.024992710459449327;3.0;0.01421262080727686;9.0;0.02607939727615184;5.0;0.018709073900841908;7.0;0.021085607566720888;11.0;0.030688539225532864;14.0;0.03575259206292456;44.0;0.10197932600936356;38.0;0.07933028538026346;22.0;0.056136769584077574;35.0;0.11853959222380275;13.0;0.044136619813947175;14.0;0.056885132664255815;7.0;0.02861581228027144;9.0;0.03036949552893538;7.0;0.03629764065335753;13.0;0.06253607850683086;11.0;0.06268163428115563;4.0;0.01000450202591166
2;testing;3.0;0.014489253803429122;0.0;0.0;5.0;0.023320895522388058;0.0;0.0;1.0;0.004485310607759587;1.0;0.003881384878124515;1.0;0.003424657534246575;0.0;0.0;2.0;0.009475080538184574;0.0;0.0;0.0;0.0;1.0;0.003012229652388698;0.0;0.0;2.0;0.005107513151846366;18.0;0.041718815185648725;31.0;0.06471681175758334;20.0;0.05103342689461597;10.0;0.0338684549210865;5.0;0.016975623005364295;4.0;0.016252895046930237;4.0;0.01635189273158368;8.0;0.026995107136831453;3.0;0.0155561317085818;4.0;0.01924187030979411;1.0;0.005698330389195966;6.0;0.015006753038867492
3;nurse;3.0;0.014489253803429122;4.0;0.018299935950224173;3.0;0.013992537313432836;2.0;0.017752529735487306;4.0;0.017941242431038347;1.0;0.003881384878124515;5.0;0.017123287671232876;7.0;0.029158162202690883;22.0;0.10422588592003032;6.0;0.017386264850767892;4.0;0.014967259120673527;6.0;0.018073377914332188;8.0;0.022318937618569356;5.0;0.012768782879615914;8.0;0.0185416956380661;17.0;0.03548986451222313;45.0;0.11482521051288594;10.0;0.0338684549210865;10.0;0.03395124601072859;15.0;0.06094835642598838;21.0;0.08584743684081432;45.0;0.1518474776446769;32.0;0.16593207155820586;7.0;0.03367327304213969;15.0;0.08547495583793949;7.0;0.017507878545345405
4;dontbargainwithourlive;2.0;0.009659502535619416;30.0;0.1372495196266813;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;risk_life;1.0;0.004829751267809708;0.0;0.0;0.0;0.0;1.0;0.008876264867743653;4.0;0.017941242431038347;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.004737540269092287;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.006262917266862904;6.0;0.015310028068384792;8.0;0.0270947639368692;3.0;0.010185373803218578;4.0;0.016252895046930237;5.0;0.0204398659144796;6.0;0.020246330352623586;3.0;0.0155561317085818;2.0;0.009620935154897056;1.0;0.005698330389195966;4.0;0.01000450202591166
6;transit_worker;1.0;0.004829751267809708;2.0;0.009149967975112087;2.0;0.009328358208955225;0.0;0.0;2.0;0.008970621215519173;0.0;0.0;2.0;0.00684931506849315;0.0;0.0;0.0;0.0;8.0;0.023181686467690525;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.00338684549210865;2.0;0.0067902492021457185;0.0;0.0;3.0;0.01226391954868776;4.0;0.013497553568415727;1.0;0.005185377236193933;1.0;0.004810467577448528;0.0;0.0;27.0;0.06753038867490371
7;save_life;1.0;0.004829751267809708;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.005795421616922631;2.0;0.007483629560336763;8.0;0.024097837219109585;3.0;0.00836960160696351;0.0;0.0;0.0;0.0;13.0;0.02713930815640592;16.0;0.04082674151569278;11.0;0.03725530041319515;12.0;0.04074149521287431;6.0;0.02437934257039535;2.0;0.00817594636579184;7.0;0.023620718744727518;3.0;0.0155561317085818;1.0;0.004810467577448528;3.0;0.017094991167587895;1.0;0.002501125506477915
8;stay_home;1.0;0.004829751267809708;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.00776276975624903;1.0;0.003424657534246575;2.0;0.008330903486483108;0.0;0.0;2.0;0.005795421616922631;0.0;0.0;0.0;0.0;3.0;0.00836960160696351;4.0;0.010215026303692733;27.0;0.0625782227784731;37.0;0.07724264629130916;48.0;0.12248022454707834;21.0;0.07112375533428165;15.0;0.0509268690160929;8.0;0.032505790093860475;5.0;0.0204398659144796;10.0;0.03374388392103931;9.0;0.046668395125745395;4.0;0.01924187030979411;5.0;0.02849165194597983;5.0;0.012505627532389575
9;corona;0.0;0.0;3.0;0.01372495196266813;0.0;0.0;0.0;0.0;1.0;0.004485310607759587;1.0;0.003881384878124515;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0037418147801683817;0.0;0.0;4.0;0.011159468809284678;1.0;0.002553756575923183;18.0;0.041718815185648725;18.0;0.03757750360117743;5.0;0.012758356723653993;6.0;0.0203210729526519;2.0;0.0067902492021457185;1.0;0.004063223761732559;3.0;0.01226391954868776;3.0;0.010123165176311793;5.0;0.025926886180969663;0.0;0.0;4.0;0.022793321556783864;2.0;0.00500225101295583
10;stay_safe;0.0;0.0;2.0;0.009149967975112087;2.0;0.009328358208955225;0.0;0.0;6.0;0.026911863646557524;2.0;0.00776276975624903;6.0;0.020547945205479454;6.0;0.024992710459449327;2.0;0.009475080538184574;0.0;0.0;0.0;0.0;1.0;0.003012229652388698;0.0;0.0;0.0;0.0;8.0;0.0185416956380661;7.0;0.01461347362268011;6.0;0.015310028068384792;4.0;0.0135473819684346;1.0;0.0033951246010728593;7.0;0.028442566332127907;2.0;0.00817594636579184;9.0;0.03036949552893538;1.0;0.005185377236193933;0.0;0.0;2.0;0.011396660778391932;21.0;0.05252363563603621
