;words;number
social;worker, work, work_class, housing, labor, class, tenant, socialism, rent, job, social, landlord, cancelrent, eviction, economic, economy, homeless, wage, basic, supply, unemployment, shelter, pay_rent, workers, cancel_rent, bailout, poverty, employer, rent_control, unhoused, rent_strike, evict, homelessness, freeze, hazard_pay, lose_job, stimulus, rent_mortgage, childcare, social_security, affordable_housing, student_debt, minimum_wage, eviction_moratorium, moratorium_eviction, working_condition, housing_human, paycheck, rent_freeze, rentstrike, inequality, low_income, live_wage, working_class, peopleoverprofit, unemployed, economic_crisis, suspend_rent, student_loan, houseless, homesguarantee, cut_social, exploitation, gentrification, mortgage_payment, rentfreezenow, salary, safety_net, relief_fund, small_business, union_busting, eviction_foreclosure, foreclosure, peoplesbailout, rental, lifttheban_rent, billionaire_exist, low_wage, file_unemployment, hungry, unhoused_neighbor, fair_contract, tenant_protection, housingisahumanright, nyhomesguarantee, utility_payment, wage_theft, makebillionairespay, stimulus_package, bail_reform, tuition_free, unpaid, foreclosure_utility, rentfreeze, workforce, evictionmoratorium, nursing_home, rentcontrol, slumlord, cancelmortgage, residence, cancelrentnj, canceltherent, mortgage_cancellation, decommodify, utility_shutoff, landlordhorrorstory, cancelstudentdebt, redistribution, protectallworker, accessibility, rentcontrolnow, organizethesouth, maydaystrike, unionsforall, unskilled, overtime, underinsure, rentzero, uninsure, unionization, cancelrentwisconsin, cancelmortgageswisconsin, socialsecurity, suspendrent, debtor, endcashbail, goodcauseeviction, poorpeoplescampaign, servicesnotsweep, evicti, homesforall, norent, workerprotection, cancelrentjb, utilitiesstrike, housingishealthcare, solutionsnotsweeps, spreadthestrike, tenantpower, understaffe, blackworkersmatter, debtfreefuture, evictio, houselessness, precariousness, rentrelief, contractthatwork, abolishlandlords, affordablehouse, blacklivesmatteratschool, cancelbills, cbusevictionfreeze, decommodifye, forbearance, hazardpay, hazardpaynow, homelesscantstayhome, humancapitalstock, maydayrentstrike, mortgag, noeviction, nomortgage, peoplenotprofit, realrentcontrolnow, rentstrikeny, rentsuspension, savethepostoffice, servicesnotsweeps, shareyourcheck, stopthesweep, stopthesweeps, unemploym, workersmemorialday, banshutoff, canceldebt, cancelrentusa, classstruggle, cuomoshousingcrisis, economicdemocracy, endwagetheft, evictionruinslive, evictthespeculator, foodnotrent, freezeevictionsboulder, higheredworksbecausewedo, homeles, homeownership, housedandhealthy, housingjusticeforall, nochristmaseviction, nonpayment, payusmoreucsc, realrentcontr, rentcontro, savemomshouse, shutoffskill, solidarityeconomy, stopdhaeviction, stopmasseviction, studentdebt, universalrentcontrol, voteberniegetgrandkid, contractthatworks, adaywithoutdomesticworker, allmeansall, bailoutpeoplenotcorporat, baneviction, cancelarlarenta, cancelmor, cancelr, cancelren, cancelrentandmortgage, cancelrentcaravan, cancerent, childcareforall, debtfreefutur, decommidfication, decommodified, decommodifysurvival, economicbillofright, economicjustice, emergencyubi, endrent, evicting, evictionfree, evictionmora, evictionmoratoriu, evictng, evictthespeculators, feedthepoor, fixunemploymentnow, foodbankchallenge, homele, homelessmemorialday, homesandpeoplefirst, homesforallmd, homesgaurantee, homesguaranteela, homesnotgame, homesnothandcuff, homesnothomeless, homesnothotel, housesnothandcuff, housethehomeless, housingguaranteema, landlordchallenge, livingwage, minimumwage, nocontractnopeace, nocovidevi, noevictionsonstolenland, nojobs, norentmi, norentny, nowage, peoplesrecovery, protectmotenants, protectworker, raisethewage, realrentcontrol, reclaimrentcontrol, rentday, rentmutiny, rentrevolt, rentstri, rentstrik, safetyishousingrelief, stimuluscheckchallenge, stimulusdeposit, stimuluspayment, stimulussolidarity, stopeviction, stopwagetheft, strentstrike, survivorrightsworkerright, tenantorganize, tuitionfreecollege, underprivileged, unemployedtogethersantafe, unemployement, unemploymentrate, universalchildcare, unpropertied, utilitystrike, wageslave, wagetransparency, austerity, social_service, create_job, utility_bill;291
covid;givemeppe, getusppe, ppeforall, workersoverendowment, covid, pandemic, coronavirus, sick, nurse, covid_crisis, ppe, virus, stay_home, social_distancing, response_covid, essential_worker, reopen, testing, righttorecovery, frontline, global_pandemic, coronavirus_pandemic, stay_safe, outbreak, save_life, healthyla, frontline_worker, corona, test_positive, covid_bulletin, symptom, middle_pandemic, covid_outbreak, transit_worker, hand_sanitizer, wear_mask, risk_life, emergency_guarantee, endcovidsanction, vaccine, lockdown, epidemic, protective_equipment, non_essential, dontbargainwithourlive, socially_distance, coronaviruspandemic, essentialwork, essentialworker, immunocompromise, nocovidcapitalism, coronaviruscapitalism, cutcovidnotcuny, pandemi, stayhome, immune, nobigoilbailout, epidemiologist, stayathome, coronav, cov, covi, cuomoscovid, sanitize, antiviral, handwashing, hygienic, influenza, pande, pneumonia, quarantining, rehabilitation, sanitizer, coronavirusoutbreak, decarceratecovid, essentialworkersday, nonessential, socialdistance, coronaoutbreak, coronavi, coronavirusupdate, nyumakesussick, pandem, socialistdistancing, antidote, coronacrisis, coronovirus, flattenthecurve, iamessential, notdyingforwallstreet, nyucanaffordit, positive_covid, postponetheprimarie, ppeoverprofit, protectessentialworker, symptomatic, canceleverythe, coronastrike, coronaviru, coronaviruscrisis, dieforthedow, endcovid, endcovidsanctions, immigrantsareessential, immunocompromised, lvdsafightsback, respirator, shutdownmass, strikeforourlive, whichsideareyouon, coronaaid, coronapandemic, coronapocalypse, coughing, covidcrisis, essentialnotexpendable, essentialworke, flprisonscovid, immunization, immunosuppresse, justcovidresponse, micovid, nnjcoronanews, pandemia, quarantined, staysafestayhome, unessential, wearetheshutdown, capitalismisthepandemic, caronavirusoutbreak, chornically, coron, coronabux, coronapandem, coronapocolypse, coronavir, coronavirusillinois, coronaviruslockdown, coronavirusoutbreakindia, coronoavirus, covidactnow, covidien, covidiot, covidrelief, cuomoscovidcrisis, cvillecovidcare, disinfected, disinfection, endcovidsanctio, epdimolgist, epidemi, epidemiology, essentialbutexclude, fightcovidnotvenezuela, flatteningthecurve, frontlineworker, frotnline, fuckcovid, healthworkersdefendnc, healthyathome, helpnotdeath, hydroxychloroquine, immunocomp, immunocomprimise, lockdownextension, marylandcoronavirus, mkemutualaidcovid, mycovidstory, nonessentia, ourlivesovertheirprofit, pandemicin, physicaldistance, prisonpandemic, protectallworkers, quaran, quarantineandchill, quarantinelivestream, quarantstream, saferathome, saferathometogether, sanctionski, sandersonfarmscovid, sickoutnyu, socialdistanac, socialdistancing, staythefhome, stlcovidaid, stopthespread, ucsfmaskdrive, unsanitized, wernotdisposable, workfromhome, essential, ventilator, keep_safe;195
health;healthcare, medicare_all, health, health_care, medical, health_insurance, universal, public_health, pay_sick, doctor, insurance, healthcare_system, patient, medicare, healthy, disability, disease, medicaid, universal_healthcare, insurance_company, uninsured, abortion_access, medicine, cut_medicaid, mental_health, cancer, sick_leave, medical_debt, illness, pharma, reproductive_right, medication, medic, passnyhealth, medical_supply, freethemall_publichealth, reproductive_freedom, prevention, paidsickleave, medica, respiratory, healthca, obamacare, chronic, pregnancy, planned, healthcareforall, pharmacy, sickness, abortionishealthcare, diabetic, hospitalize, lifesave, medicareforallnow, abortionisessential, medicar, abortionondemand, healthjustice, medically, medicaref, nyhealthact, singlepayernow, universalhealthcare, withoutapology, abortionis, fundabortionbuildpower, peteshealthtax, pharmac, psychiatric, telemedicine, autoimmune, disabilities, earnedsickleave, exposefakeclinic, freethemallforpublichealth, healthc, healthcar, healthcareemergencyguaranteeact, myrightmydecision, nomedicaidcut, ourpatientsdeservebetter, recoveryforall, supportnurse, disablednotdisposable, fundabortionbuildpowercelebratesolidarity, healthcareemergencyguara, healthcareemergencyguarantee, healthcareisahumanright, healthfair, healthjusticenow, healthnoteviction, heathcare, hospitalization, medicaidexpansion, medicarefo, medicarefora, medicareforyall, nationalizeourhospital, newyorkhealthact, protectmedicaid, ridetorecovery, telehealth, thankyounurse, tuberculosis, untreated, abortioncareishealthcare, abortionfund, abortionisahumanright, abortionisawomansright, alamedahealthsystem, bidendoesntsupportmedicareforall, blackhealthcoalitionofwi, chemotherapy, chicagolovesmedicareforall, curing, dehydration, disabilitie, disabilityrights, emergencyhealthcareguaranteeact, expandmedicaid, goboldonhealthcare, healthcareheroe, healthcarenotwarfare, healthcareworkinggroup, healthierjc, healthinsurance, healthjusrice, healthnothandcuff, healthpolicyvalentine, healthyhome, helathcare, insurancehorrorstory, joebidendoesntsupportmedicareforall, masshealth, medcaid, medicalbrigades, medicarefor, medicat, mentalhealthmatter, nationalnursesweek, ourpatientsdeservebett, patientright, pharmacie, pharmacology, providencepatientsbeforeprofit, righttorecov, ruralhealthcare, sickpayforall, thisthingtheycallrecovery, undermedicate, unitedhealth, unitedhealthcare, universalh, yestolousafety, medicareforall, abortion, cure;157
climate;climate, green_new, energy, greennewdeal, fossil_fuel, climate_change, planet, climate_crisis, earth, green, ecosocialist, environmental, ecosocialism, carbon, emission, earth_day, earthday, environmental_justice, sustainable, save_planet, fossil, fracke_gas, oil_gas, climatestrike, new_deal, natural_gas, renewable_energy, fuel_industry, ecological, ecofascism, greenstimulus, climateemergency, decarbonize, climatecrisis, environmentalist, ecology, greennew, sustainability, vegan, unsustainable, climat, energydemocracy, greenwashe, dallasclimateaction, ecosoc, ecosystem, nonbkpipeline, climatechange, climatejustice, decarbonise, climatebanner, greennewd, greenpeace, nofossilfuelbailout, agroecology, clima, deforestation, ecofascist, environmentalism, exxonmobil, makethempay, stopthewilliamspipeline, vegetarian, exxonknew, countdowntokeepmisafe, dallasclimatea, decarbonized, environmentaljustice, greenn, greenwashing, renewableheatnow, climateaction, climateactionnow, dallaspeoplesclimateaction, ecologically, fridaysforfuture, greennewde, greennewdealnow, greennewdealva, nopipeline, systemchangenotclimatechange, capitalismvstheclimate, climactic, climateact, climateactivist, climatecha, climateelection, climatehero, climatic, dallasclimateac, dallasclimateplan, dallaspeoplesclimateplan, defundclimatechange, earthmonth, ecoapartheid, ecofasci, ecomodernism, environmentaljustic, fossilfreeum, gettheleadoutcoalition, gogreenvotere, greenjobs, greenjobsnocut, greennewdea, greennewdealsd, greennewtva, greenstimulu, keepitintheground, mygreendream, orclimateaction, pipelineprotestor, protecttheepa, rainforest, renewableenergy, socialecology, sunrisemovement, thefutureisapublicgood, voteclimate, renewable;119
urgency;crisis, need, build, right_now, struggle, die, emergency, kill, risk, fucking, violence, protection, disaster, unprecedented, survival, dignity, unacceptable, terrible, million_americans, big_ass, countless, endanger, badly_need, outrageous, class_warfare, shameful, suffering, scared, necessity, desperate, hardship, disastrous, devastating, humanitarian, socialismorbarbarism, unfair, mortality, destructive, misery, fuckin, frustrate, illegitimate, unimaginable, heartbreake, horrifying, unprepared, abhorrent, incompetent, desperation, heartbroken, heartbreaking, horrendous, inexcusable, unapologetic, unjustly, emergenc, exponentially, unparalleled, exponential, manslaughter, tremendously, agonize, desastre, exponent, irreversible, pitiful, unspeakable, catastrop, devasta, heartbreak, powerlessness, now, suffer, concerned, extreme, overwhelmingly, terribly;77
agency;actio, join, fight, support, vote, demand, strike, action, protest, donate, act, activist, voting, rise, abolish, organize_workplace, build_movement, grassroots, trysocialism, build_mass, activism, occupy, condemn_public, demonstration, unionize, action_alert, mass_movement, grassroot, hunger_strike, collective_action, votesocialist, democratizecome, unstoppable, everybodyorganize, unleash, ijoineddsa, jjworkersunite, peoplesaction, riseup, takeaction, crowdsource, actionnetwork, directaction, hungerstrike, jointhemovement, activ, activitist, acton, dayofaction, solidarityinaction, organize, start, stop, end, endorse, share, protect, supporter, knock_door, save, march, sign_petition, let_know, freethemall, vote_mail, stay_tune, voteforbernie, votebernie, werolltogether, votar, votebymail;71
possibility;win, power, change, justice, provide, hope, safety, imagine, possible, world_possible, momentum, newyearsrevolution, empower, strengthen, solidarityforever, hold_accountable, transformative, politicalrevolution, deescalation, righteous, rehabilitate, empowerment, feasible, opportune, changemaker, oportunidad, bigstructuralchange, opportun, opportuni, opportuntie, systemicchange, freedomisthefuture, freedomfuture, ourcommunitiesourfuture, ourenergyfuture;35
